id,r,t,p,z,m200b,r200b
45403341532,26.018284,1.568720,-0.002615,0.005980,859036844032.000000,0.232201
45403386367,63.754326,1.564228,-0.084367,0.014682,546659794944.000000,0.199725
45403341923,70.974236,1.561793,-0.074640,0.016352,741895438336.000000,0.221127
45403386377,67.156334,1.560820,-0.071834,0.015469,1796167958528.000000,0.296922
45403478859,71.175369,1.559184,-0.058774,0.016398,117141389312.000000,0.119517
45403393492,122.627220,1.568345,-0.063090,0.028324,1327602335744.000000,0.268462
45403386476,98.909081,1.561448,-0.037291,0.022819,702848303104.000000,0.217177
45403478872,108.800293,1.568976,-0.005594,0.025114,976178249728.000000,0.242309
45403341575,124.906364,1.564559,-0.000983,0.028854,585706962944.000000,0.204371
45403479036,124.344238,1.565430,-0.001250,0.028724,1444743741440.000000,0.276136
45403341924,121.760262,1.567010,-0.000797,0.028122,819989708800.000000,0.228628
45403341568,148.304337,1.565898,-0.092502,0.034302,702848303104.000000,0.217177
45403394430,171.441956,1.566702,-0.096514,0.039703,1015225384960.000000,0.245498
45403394450,179.744751,1.569271,-0.087852,0.041642,780942573568.000000,0.224940
45403394458,176.946350,1.568871,-0.049468,0.040989,1210461061120.000000,0.260322
45403341580,144.496216,1.564064,-0.028410,0.033415,156188508160.000000,0.131546
45403341579,145.466202,1.568032,-0.028560,0.033641,2420922122240.000000,0.327985
45403341598,152.809235,1.567345,-0.031302,0.035351,1639979417600.000000,0.288053
45403341582,149.848785,1.569367,-0.027360,0.034661,3943760134144.000000,0.385920
45403341925,128.852097,1.568852,-0.015190,0.029773,39047127040.000000,0.082869
45403394467,177.827728,1.566482,-0.044012,0.041195,780942573568.000000,0.224940
45403479048,181.741455,1.567951,-0.002134,0.042109,1366649470976.000000,0.271068
45403394539,194.387131,1.569955,-0.080636,0.045071,4295184089088.000000,0.397058
45403394536,189.181030,1.568812,-0.068281,0.043851,3553288781824.000000,0.372738
45403394545,190.143265,1.569951,-0.070345,0.044077,898083979264.000000,0.235667
45403439061,247.439667,1.567272,-0.076861,0.057533,663801167872.000000,0.213078
45403438978,218.929947,1.568354,-0.069230,0.050827,1015225384960.000000,0.245498
45403439063,241.967239,1.568430,-0.064872,0.056245,3319005970432.000000,0.364359
45403439062,241.514862,1.569072,-0.065958,0.056138,2264733581312.000000,0.320774
45403439079,242.144196,1.567405,-0.056069,0.056286,859036844032.000000,0.232201
45403439084,241.694809,1.567487,-0.051806,0.056181,624754032640.000000,0.208816
45403439066,244.829193,1.568033,-0.058989,0.056918,741895438336.000000,0.221127
45403439082,243.047302,1.569270,-0.049152,0.056499,4412325494784.000000,0.400635
45403438965,201.547806,1.567782,-0.046276,0.046750,2186639179776.000000,0.317044
45403438964,201.578110,1.568939,-0.046856,0.046757,1249508065280.000000,0.263091
45403438977,212.768234,1.569484,-0.026829,0.049379,1249508065280.000000,0.263091
45403479593,201.189041,1.569693,-0.020159,0.046665,5037079658496.000000,0.418716
45403479596,213.507919,1.570541,-0.015427,0.049553,2967581753344.000000,0.351016
45403479594,212.794952,1.568045,-0.013759,0.049386,156188508160.000000,0.131546
45403439080,240.795639,1.567130,-0.047319,0.055969,2108544909312.000000,0.313223
45403439089,245.386063,1.566864,-0.048814,0.057049,9683688488960.000000,0.520643
45403439091,248.196243,1.567414,-0.048990,0.057711,15267426992128.000000,0.605966
45403439092,248.540878,1.567608,-0.047865,0.057793,2381874987008.000000,0.326212
45403439081,242.298004,1.569050,-0.048453,0.056323,9957017649152.000000,0.525496
45403479600,237.095856,1.567517,-0.025392,0.055099,1132366790656.000000,0.254598
45403479597,223.363968,1.569445,-0.019262,0.051870,1796167958528.000000,0.296922
45403479604,240.842499,1.568221,-0.001616,0.055980,780942573568.000000,0.224940
45403439075,250.828384,1.567206,-0.082616,0.058332,819989708800.000000,0.228628
45405466896,274.256287,1.567966,-0.076798,0.063862,937131114496.000000,0.239034
45405466760,260.749176,1.567627,-0.058565,0.060674,663801167872.000000,0.213078
45405574316,262.424805,1.567148,-0.054101,0.061069,546659794944.000000,0.199725
45405438960,262.608276,1.569957,-0.052586,0.061113,976178249728.000000,0.242309
45405466759,262.597839,1.568943,-0.049711,0.061110,663801167872.000000,0.213078
45405467096,276.712372,1.568920,-0.066666,0.064441,2499016130560.000000,0.331474
45405438992,268.811035,1.569977,-0.060544,0.062576,1288555200512.000000,0.265804
45405574315,271.535492,1.569350,-0.049675,0.063219,2069497905152.000000,0.311278
45405467098,279.674622,1.570773,-0.055581,0.065142,898083979264.000000,0.235667
